head0_head0_trans_x,head0_head0_trans_y,head0_head0_trans_z,head0_head0_ori_x,head0_head0_ori_y,head0_head0_ori_z,head0_head0_ori_w,head0_head1_trans_x,head0_head1_trans_y,head0_head1_trans_z,head0_head1_ori_x,head0_head1_ori_y,head0_head1_ori_z,head0_head1_ori_w,head0_head2_trans_x,head0_head2_trans_y,head0_head2_trans_z,head0_head2_ori_x,head0_head2_ori_y,head0_head2_ori_z,head0_head2_ori_w,head0_emo,head0_AU28,head0_AU45,head0_AU26,head0_AU25,head0_AU01,head0_AU05,head0_AU20,head0_AU06,head0_AU23,head0_AU07,head0_AU02,head0_AU09,head0_AU17,head0_AU10,head0_AU04,head0_AU12,head0_AU14,head0_AU15,head0_pose,Class_P0,ClassP1
0,0,0,0,0,0,1,0.437455563,-0.147675539,-0.15696557,-0.151729891,-0.205367418,-0.105535385,0.961074683,-0.408800316,0.054007401,0.462957679,-0.285576682,0.369782291,0.027744128,0.883706557,neutual,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,-0.918670079,0.20093983,0.528745888,-0.315028359,0.20227176,0.024084562,0.92696451,-0.403262782,0.100987954,0.149808484,0.043504602,0.002011227,-0.075332929,0.996206933,neutual,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,-0.908759841,0.28543399,0.547687253,-0.37878481,0.212598318,0.021575721,0.900476824,-0.412534223,0.132028817,0.124727276,0.041125795,-0.044307253,-0.09950354,0.993199165,sad,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,-0.908759841,0.28543399,0.547687253,-0.37878481,0.212598318,0.021575721,0.900476824,-0.412534223,0.132028817,0.124727276,0.041125795,-0.044307253,-0.09950354,0.993199165,neutual,,,,,,,,,,,,,,,,,,,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,-0.33247825,0.10822415,0.345611199,-0.129217215,0.039879876,-0.102003001,0.985549539,-1.061278932,0.260624878,0.447874697,-0.098939973,0.369421443,-0.071329236,0.921222459,happy,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,-0.384353001,0.16767862,0.21686611,-0.061044763,0.017410775,-0.190857188,0.979563135,-0.803116211,0.256244014,0.788403772,-0.015019458,0.383181704,-0.137799354,0.913212755,neutual,,,,,,,,,,,,,,,,,,,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,-0.384353001,0.16767862,0.21686611,-0.061044763,0.017410775,-0.190857188,0.979563135,-0.803116211,0.256244014,0.788403772,-0.015019458,0.383181704,-0.137799354,0.913212755,happy,,,,,,,,,,,,,,,,,,,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.968457057,-0.153346552,0.169623088,-0.037319838,-0.246060235,-0.074364115,0.965676741,0.642247272,-0.055238682,-0.048081239,-0.040248927,-0.173666394,0.008329069,0.983946459,supprise,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,1.065348017,-0.034013087,0.270835202,-0.034176086,-0.495713704,0.042667593,0.866763748,0.692682266,-0.005258928,0.023743687,-0.044050716,-0.217977103,0.196747416,0.954901027,neutual,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.963563764,-0.072420911,0.173688397,-0.066511521,-0.405959561,-0.08920117,0.907092169,0.621915695,-0.012438021,-0.042303795,0.014802061,0.020400148,0.112558162,0.993325422,sad,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.808277184,-0.088092226,0.596667652,-0.117496809,-0.430433394,-0.124221662,0.88627906,0.512259711,-0.024279033,0.326941965,0.017793258,-0.012295156,0.071499039,0.997206155,sad,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.690933318,-0.120607185,0.664184256,-0.219060711,-0.478430582,-0.27518064,0.80460686,0.514296722,-0.04631177,0.278715791,0.100215724,-0.037088139,0.031290473,0.993781759,sad,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,1.096548865,0.035318342,0.235199759,-0.070582912,-0.500471702,0.116044144,0.855032096,0.46219782,0.086762575,0.212597225,-0.015780577,-0.223730368,0.171772237,0.959265341,neutual,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.878003117,-0.220217205,0.485986196,0.120810361,-0.337048395,-0.019971314,0.93349043,0.485926485,-0.100244148,0.430106504,0.026895754,-0.092818057,0.076773311,0.992354415,happy,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.960202282,0.029155371,-0.078996635,-0.115245971,-0.246842183,-0.042133759,0.961255455,0.544533197,0.080222793,-0.235532398,0.107776512,-0.143369606,0.302939787,0.935979094,happy,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.89575056,-0.071555933,0.326816055,-0.082773418,-0.502727451,-0.112781197,0.853049865,0.554765328,0.028571538,0.017826175,-0.061807519,-0.300458346,0.245844421,0.91949178,happy,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.882195954,-0.114605717,0.34091994,-0.020434593,-0.507336702,-0.060335568,0.859390201,0.549804704,-0.008643616,0.011752827,-0.019974406,-0.468931542,-0.187232758,0.862929966,happy,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,0.850512764,-0.130322604,0.376439958,0.003970962,-0.345913027,-0.148376399,0.926451755,0.460510173,-0.018252711,0.125759003,0.019418113,-0.591690885,-0.027415087,0.805464615,neutual,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.976984403,-0.023054387,0.182673097,-0.025926886,-0.304109095,-0.125688258,0.943953345,0.472815718,0.028782111,0.078531173,0.027157415,-0.581626855,0.055453623,0.811108854,neutual,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,armsCrossed,TRUE,TRUE
0,0,0,0,0,0,1,0.976984403,-0.023054387,0.182673097,-0.025926886,-0.304109095,-0.125688258,0.943953345,0.472815718,0.028782111,0.078531173,0.027157415,-0.581626855,0.055453623,0.811108854,supprise,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.976984403,-0.023054387,0.182673097,-0.025926886,-0.304109095,-0.125688258,0.943953345,0.472815718,0.028782111,0.078531173,0.027157415,-0.581626855,0.055453623,0.811108854,supprise,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,handsOnFace,TRUE,TRUE
0,0,0,0,0,0,1,0.629886963,0.017776867,-0.093825764,0.029462265,-0.359036218,-0.055569026,0.93120194,0.807201267,-0.069634131,0.273047629,-0.006090303,-0.571883288,-0.07026242,0.817297746,supprise,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.65490845,0.017522601,-0.127937302,0.02122649,-0.371956761,-0.09709804,0.922913634,0.825264543,-0.089417279,0.241923429,-0.107142234,-0.560231968,-0.215416125,0.792626379,supprise,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.660390908,-0.022184168,-0.068152593,0.053448357,-0.416169637,-0.203173041,0.884684589,0.532914594,-0.233135162,0.441213414,0.133879638,-0.66164809,-0.006369871,0.737738078,happy,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,other,TRUE,TRUE
0,0,0,0,0,0,1,0.361366231,-0.079715677,0.224072144,0.133273545,-0.24536285,-0.140425985,0.949903035,0.722276388,-0.257063657,0.439327607,-0.049152056,-0.521115568,-0.292670335,0.800229164,happy,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,armsCrossed,TRUE,TRUE
